1627177_x_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.5311,XX
1634187_x_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.2637,XX
1626966_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,2.1431,XX
1625649_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,1.0671,XX
1624377_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,2.8814,XX
1632924_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,2.1594,XX
1623158_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,1.0965,XX
1626453_x_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.7165,XX
1638228_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.4786,XX
1626205_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.3822,XX
1623159_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.5583,XX
1632126_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,1.1118,XX
1641210_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,0.9305,XX
1636015_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.2180,XX
1627940_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.5825,XX
1636749_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,1.1287,XX
1626133_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,18.3936,XX
AFFX-Dm-AF117335_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,1.0025,XX
AFFX-Dm-AF168390_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.6874,XX
AFFX-Dm-AF372915_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,1.0190,XX
AFFX-Dm-Y18469_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,0.8543,XX
AFFX-Dm-Z49777_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.2207,XX
AFFX-Dm-X64464_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,0.9147,XX
AFFX-Dm-AB007987_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.7863,XX
AFFX-Dm-M90509_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,1.0747,XX
AFFX-Dm-U74610_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,6.5854,XX
AFFX-Dm-ATU18126_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.7194,XX
AFFX-Dm-L22585_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.3121,XX
AFFX-Dm-O81842_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,0.9474,XX
AFFX-Dm-Q9LU32_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.7439,XX
AFFX-Dm-O04513_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.2842,XX
AFFX-Dm-O82258_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,2.8892,XX
AFFX-Dm-Q9LJQ4_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,0.9497,XX
AFFX-Dm-Q9XIB8_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.7676,XX
AFFX-Dm-O04600_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.5556,XX
AFFX-Dm-Q9LZJ2_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.2063,XX
AFFX-Dm-Q9LVF8_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.3466,XX
AFFX-Dm-O49366_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,1.0452,XX
AFFX-Dm-O65372_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,0.8316,XX
AFFX-Dm-O65524_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.6012,XX
